id,question,correctanswer,answera,answerb,answerc,answerd
100001,when athletes begin exercise heart rates respiration rates increase. at what level organization does human body coordinate these functions?,c,at tissue level,at organ level,at system level,at cellular level
100002,which example describes learned behavior dog?,c,smelling air odors,barking when disturbed,sitting on command,digging soil
100003,when two nuclei are combined into one nucleus there slight change mass release large amount energy. what this process called?,d,conversion,reaction,fission,fusion
100004,which distinction between an epidemic pandemic?,b, symptoms disease, geographical area affected, species organisms infected, season which disease spreads
100005,in which way orbit comet different from orbit earth?,b,the orbit earth less circular than orbit comet.,the orbit comet more elliptical than orbit earth.,the orbital period earth much longer than orbital period comet.,the orbital period comet more predictable than orbital period earth.
100006,a teacher builds model hydrogen atom. a red golf ball used proton green golf ball used an electron. which not accurate concerning model?,b,number particles,relative mass particles,types particles present,charges particles present
100007,which substance should student apply skin if he she gets splashed with an acid?,a,water,vinegar,salt,formaldehyde
100008,what main source energy water cycle?,a, sun,fossil fuels,clouds, ocean
100009,which has greatest effect on aiding movement blood through human body?,d,tension,friction,density,gravity
100010,over time non-volcanic mountains can form due interaction plate boundaries. which interaction most likely associated with formation non-volcanic mountains?,c,oceanic plates colliding with oceanic plates,oceanic plates separating from oceanic plates,continental plates colliding with continental plates,continental plates separating from continental plates
100011,the human body has an average normal temperature about 98.6°f. to keep core body temperature from becoming too high brain sends signal body ,d,decrease sugar levels blood.,increase sugar levels blood.,decrease blood flow skin.,increase blood flow skin.
100012,which best explanation term ecology?,d, study nonliving parts environment, study living parts environment, study protection renewal natural resources, study organisms interactions with environment
100013,a farmer sprayed his orange trees with pesticide eliminate insects damaging trees. some insects survived produced offspring that were also resistant insecticide. which process illustrated by pesticide resistance offspring?,a,natural selection,selective breeding,aerobic respiration,sexual reproduction
100014,researchers work teams make cars more fuel efficient. which these statements describes main advantage working teams rather than working individually?,c,the research more likely published.,the research costs less perform.,the researchers can share ideas.,the researchers have more time complete work.
100015,achromatopsia genetic disorder which sufferers have no color vision. achromatopsia most likely affects which following structures eye?,b,rod cells,cone cells,lens,iris
100016,which these elements likely found an organic compound?,b,helium,hydrogen,mercury,tin
100017,which statement describes principle scientists have used learn more about structure earth's interior?,c,solid materials absorb seismic waves.,magnetic fields deflect seismic waves.,the density material affects speed seismic wave.,the physical state material determines amplitude seismic wave.
100018,a scientist looks at graph that shows percentages humus clay sand that make up soil. if scientist had total weight each material instead percentages what type graph would best illustrate data?,a,bar graph,scatterplot,circle graph,pictograph
100019,robots can perform tasks that are dangerous humans. what major limitation use robots?,b,the assembly pieces must very small.,the assembly process must remain exactly same.,robots require regular maintenance.,robots must provided with electricity.
100020,a student investigated percentage energy obtained from several food sources population eagles. which format best way display this data?,b, table, pie chart, bar graph, line graph
100021,the voyager ii space probe was launched 1979 with mission flying past outer gas giant planets collecting data. what unit measurement would best describe distance that this probe traveled reach neptune?,c,meters,kilometers,astronomical units,light years
100022,which cellular structure allows nutrients pass into cells?,c,mitochondrion,nucleus,membrane,chloroplast
100023,which behavior can help animals establish territory?,c,a caribou herd migrates seasonally.,a scent trail leads ants food source.,a wolf pack howls warn other wolves stay away.,a honeybee society divides work between its members.
100024,the brain spinal cord nerves are organs that perform which primary function?,d,supporting body enabling it move,transporting oxygen wastes nutrients throughout body,producing male female gametes,conducting messages coordinate body functions
100025,which statement best describes liquid sample?,a,it will retain its volume if transferred larger container.,it keeps its shape when transferred larger container.,its volume can greatly reduced by adding pressure.,its shape can changed by increasing its temperature.
100026,a condition bees called colony collapse disorder occurs when worker bees leave hive collect nectar never return. how would decline bee population most likely affect farm ecosystem?,b,there would decrease soil thickness.,there would decline fruit production.,there would an increase plant diseases.,there would an increase insect pest populations.
100027,which set contains kingdoms that contain only heterotrophs?,d,protists fungi,bacteria animals,plants fungi,animals fungi
100028,when light passes through lens your eye it produces __________ image on retina.,d, smaller, larger,an upright,an inverse
100029,how should researchers share findings with other scientists validate study effectiveness new medication?,b,e-mail research results local newspapers,publish research results scientific journal,publish results brochures doctors,discuss research results on internet
100030,some ancient greeks tried discover laws universe through thought logic. which part scientific process were these scientists missing?,b,analysis,experiment,conclusion,observation
100031,when scientists investigate nature gravity why it beneficial them review work other scientists who have studied gravity past?,b,it ensures that investigations study identical topics.,it provides different perspectives on research topic.,it prevents scientists from studying topics that are not relevant.,it gives scientists access any data that may missing investigations.
100032,what greatest contributor air pollution united states?,b,factories,automobiles,power plants,burning waste
100033,why ozone content stratosphere important living organisms?,b,ozone absorbs infrared radiation from sun.,ozone absorbs ultraviolet radiation from sun.,ozone necessary create oxygen living things.,ozone atmosphere prevents radiation heat from earth.
100034,an ecosystem community organisms interacting with physical environment. why are decomposers an important part ecosystems?,a,they break down dead organisms return nutrients soil.,they produce own food survival.,they play role preventing weathering erosion.,they provide most energy consumers.
100035,populations respond over time changing environments through process __________.,a,adaptation,competition,ecological succession,extinction
100036,the number sequence amino acids protein determines its __________.,d,chemical properties,shape,size,all above
100037,a research team wanted produce smaller variety german shepherd dogs. they mated smallest dogs from different litters several generations. this an example which concept?,c,extinction,mutation,selective breeding,natural selection
100038,as glacier melts retreats layer bedrock exposed. which term best describes process that establishes community on bedrock?,b,disturbance,succession,weathering,stabilization
100039,some areas world are experiencing more desert-like conditions. this change most favors survival species with ability do which following?,b,consume large amounts food,become dormant long periods,sense infrared ultraviolet light,transpire water through skin atmosphere
100040,many birds living certain coastal environment have high-level concentration pesticides bodies. what most likely conclusion that can made about pesticides?,d,the pesticides exist naturally environment.,plants picked up pesticides from coastal soils.,high ocean tides brought pesticides into nesting areas.,the fish consumed by birds are contaminated with pesticides.
100041,what main function circulatory system?,d,secrete enzymes,digest proteins,produce hormones,transport materials
100042,which type organism at lowest level food chain?,a,autotroph,heterotroph,carnivore,omnivore
100043,with climate transfer energy as heat which three mechanisms transfer energy between earth's surface atmosphere?,a,conduction convection radiation,reflection retention radiation,convection nuclear reflection,conduction solar nuclear
100044,a scientist searches fossils sedimentary rocks. which statement best explains why scientist more likely find fossils sedimentary rocks than other rock types?,a,a mold can form when an organism buried sediment.,most organisms live areas where sedimentary rocks are found.,other rock types are difficult examine compared sedimentary rocks.,sedimentary rocks are most common rock type on earth.
100045,which statement best describes nature sound?,c,sound travels fastest air.,sound travels faster than light.,sound travels as longitudinal waves.,sound travels as transverse waves.
100046,a gastroenterologist doctor who treats problems esophagus stomach intestines. which organ system cared by this type doctor?,c,circulatory system,muscular system,digestive system,nervous system
100047,many wildflowers growing on floor dense forests bloom early spring. which these best reason why they bloom at this time?,a,the canopy trees have not developed leaves so wildflowers get more light.,the butterflies that pollinate flowers are most active early spring.,there are fewer animals eat flowers before they are pollinated.,early spring warmest time year so wildflowers grow easily.
100048,which following remains constant earth's carbon cycle?,a, total mass available carbon, way organisms use carbon, physical state carbon-containing molecules, molecule which particular carbon atom found
100049,which following correct order waves according increasing wavelengths?,a,x-rays -> ultraviolet -> visible light -> microwaves -> fm radio waves,microwaves -> x-rays -> ultraviolet -> fm radio waves -> visible light,visible light -> x-rays -> ultraviolet -> microwaves -> fm radio waves,fm radio waves -> microwaves -> visible light -> ultraviolet -> x-rays
100050,when core protostar has reached around 10 million k pressure within it so immense that nuclear fusion hydrogen begins __________ born.,b,red giant,star,super red giant,black hole
100051,a family owns vacation cabin located on hillside below gas station with leaking gasoline storage tank. in which situation drinking water cabin most likely contaminated?,c,water pumped cabin from distant reservoir.,the family brings several gallons bottled spring water.,groundwater drawn up buckets from private well.,the family collects water rain barrels left open air.
100052,a scientist working on new package design wants use material that highly recyclable biodegradable inexpensive. the best material package design ,b,aluminum.,cardboard.,plastic.,glass.
100053,male testes are located an external scrotum because ________.,a,normal body temperature too warm sperm production,an external scrotum offers better protection testes,sperm produced testes stored epididymus,sperm cells must mix with seminal fluid before exiting penis
100054,which following are three major types rocks?,d,metamorphic intrusive extrusive,sedimentary metamorphic granite,igneous metamorphic pumice,igneous metamorphic sedimentary
100055,what determines how long moon takes complete one cycle phases?,b, period rotation moon around its axis, period revolution moon around earth, period rotation earth around its axis, period revolution earth around sun
100056,the plant arabidopsis thaliana has gene which has been found show an unusually high rate mutation. which conclusion best supported by this observation?,d,the gene codes flower color plant.,the gene controlled by environment not heredity.,traits associated with this gene are beneficial species.,traits associated with this gene may vary greatly species.
100057,which true about water as natural resource?,a,water renewable resource that requires good stewardship.,water renewable resource so its supply cannot exhausted.,water nonrenewable resource that requires good stewardship.,water nonrenewable resource but its supply cannot exhausted.
100058,a person experiences flight fight response danger. which statement explains what takes place human body as result?,a,the heart muscle contracts faster increasing blood flow through blood vessels.,the heart valves close increasing blood volume stored heart chambers.,breathing slows down allowing blood absorb oxygen more efficiently.,blood vessels relax dilate letting blood flow though them more quickly.
100059,which these practices would best support claim that an experiment led scientific discovery?,b,reporting sharing data with other researchers,having other scientists successfully replicate experiment's results,keeping complete detailed accurate records experiment,being willing publish results experiment so other scientists could study them
100060,a student adds water detergent cup soil. the mixture shaken allowed settle. the student observes that silt particles stay suspended long after other particles form layers at bottom jar. the most likely explanation that silt particles are,c,organic.,dissolving.,less dense.,moving faster.
100061,a cell that low water will most likely immediately lose ability ,a,remain rigid.,absorb sunlight.,release oxygen.,reproduce again.
100062,a female opossum can give birth 5-15 offspring. what increases with larger litter?,d, rate at which they mature, number reliable food sources, amount maternal care per offspring, likelihood that some will survive reproduce
100063,four students are investigating effect force baseball bat on ball. they marked four different points where each balls made contact on bat after each strike by each four students. which following describes an error experimental design?,d,failure conduct enough trials,not considering spin ball,not using balls different masses,failure define one testable variable
100064,trees most likely change environment which they are located by,d,releasing nitrogen soil.,crowding out non-native species.,adding carbon dioxide atmosphere.,removing water from soil returning it atmosphere.
100065,the process moving gases into out an entire organism involves use __________.,d, digestive system, nervous system, excretory system, respiratory system
100066,blood pressure often used as an indicator cardiovascular health. blood pressure most often measured which following units?,b,cmhg,mmhg,g/cm^3,g/mm^3
100067,which would most likely characteristic an object with small volume large mass?,a,high density,low pressure,low viscosity,high temperature
100068,frost wedging occurs when rocks are broken into smaller pieces by water freezing expanding cracks rock. frost wedging considered part which step rock cycle?,a,weathering,transportation,deposition,lithification
100069,clearing forests trees vegetation human development can have major impacts on ecosystem. which would most likely occur after forested area cleared?,c,an increase habitat wildlife, decrease food competition,an increase soil erosion, decrease water runoff
100070,the relationship between force mass represented equation: force = mass x acceleration in this relationship if mass object increases with no change force acceleration object will __________.,c,increase,not change,decrease,change direction
100071,a plant that grows red flowers was crossed with same kind plant that grows white flowers. their offspring grew pink flowers. which best explains why offspring grew pink flowers?,c,the offspring experienced genetic mutation.,the offspring resulted from asexual reproduction.,the genes flower color exhibited incomplete dominance.,a gene pink-colored flowers was recessive one parents.
100072,the fossil records show that organisms began evolving from earth's earliest life forms. what type organism was first seen fossil record?,b,multi celled organisms,single celled organisms,fungi,viruses
100073,modern technology has had some positive negative effects on society. which would negative effect advances technology?,a,human jobs replaced by more efficient machines,decrease production solid waste,use alternate sources energy,reduction habitat destruction
100074,lifting weight with arm requires,c,only flexion muscle groups.,only extension muscle groups.,both flexion extension muscle groups.,neither flexion extension muscle groups.
100075,when an atom has neutral charge which particles within atom have equal numbers?,b,electrons neutrons,protons electrons,neutrons protons,ions neutrons
100076,extinction more likely organisms that have less genetic variation. which following organisms are most likely face extinction?,a,organisms that reproduce asexually,organisms that are large size,organisms that are primary producers,organisms that reproduce sexually
100077,which organ directly works protect human body from disease?,d,heart,kidney,pancreas,skin
100078,when two unequal forces act opposite directions on moving object object will,d,absorb forces.,come an immediate stop.,continue move same direction.,move same direction as larger force.
100079,what formed when sodium atom chlorine atom react chemically?,b,an element, compound,an electron, neutron
100080,electric circuits provide energy lightbulbs. which these prevents flow electrons?,c, circuit that closed, series circuit, circuit that open, parallel circuit
100081,scientists conducting research on new medicine have found promising evidence that medicine will helpful. these scientists work maintain accurate records throughout study. why are accurate records most important scientists?,d,the records will help prove that scientists worked hard complete research.,the records increase possibility that drug will sold at major pharmacies.,the records should correct so scientists can paid time.,the records help scientists prove validity work.
100082,how are functions carbohydrate lipid similar?,a,both are source energy.,both are replicated during meiosis.,both lower activation energy reactions.,both dissolve nutrients digestive system.
100083,what causes free falling object accelerate?,b,inertia,gravity,initial speed,initial direction
100084,which statement correctly describes chemical reactants?,b,they are substances that are formed during chemical change.,they are substances that are present before chemical change takes place.,it symbol that separates substances present before after chemical change.,they are substances that are written on right hand side chemical reaction equation.
100085,which following greatest known explosion event earth's history where many new species organisms appeared first time?,a,cambrian explosion,permian explosion,cretaceous-tertiary explosion,asteroid explosion
100086,which part an atom involved chemical reactions?,b,nucleus its particles,negatively-charged particles,neutrally-charged particles,positively-charged particles
100087,which following can result formation new compound?,c,mixing food coloring water,mixing iron filings iron nails,combining sodium chlorine form sodium chloride,melting solid form liquid
100088,constant motion occurs with no change speed direction while accelerated motion measure rate change an object's,c,distance.,speed.,velocity.,direction.
100089,the flower petals hydrangea plant change color as acidity soil changes. the color changes are directly related which factor?,d,gravitropism,photosynthesis,geographic location,environmental conditions
100090,the function mitochondria plant cells __________.,a,release energy cell growth development movement,attach carbohydrates lipids proteins,make energy-rich food molecules,assemble proteins
100091,the central vacuole ( largest plant organelle) used store wastes which causes some plants taste bitter animals that try eat plant. central vacuoles are found specifically within an organism's,b,tissues.,cells.,organ systems.,organs.
100092,the difference between atomic number an element element's atomic mass number ,d,ions.,protons.,electrons.,neutrons.
100093,which type event might cause dramatic change history life on earth?,d,blizzard,flood,earthquake,asteroid impact
100094,inside cells special molecules carry messages from membrane nucleus. which body system uses similar process?,a,endocrine system,lymphatic system,excretory system,integumentary system
100095,when methane burned oxygen carbon dioxide water vapor are products. since all reactants products are gases which are invisible which following clues tells you that chemical reaction has taken place?,d,new elements are rearranged,new elements are produced,heat absorbed,heat produced
100096,why competition among males during mating season important some animal species?,a,it ensures that genes from fittest animals are passed on.,it allows females distinguish between adult juvenile males.,it provides species with new ways communication.,it speeds process reproduction.
100097,a short plant with thick fleshy stem extensive roots short blooming period would most likely found which following environments?,b,prairie,desert,coniferous forest,deciduous forest
100098,fossil evidence can used tell us about all these except __________.,d,biological diversity ( kinds organisms that lived),episodic speciation (new species suddenly appearing after millions years without changes species),mass extinction (sudden disappearance all evidence an organism),mutation rate (how fast mutations occur within species)
100099,what primary reason providing detailed accurate records from scientific investigations?,d, make reports longer,so results can published, demonstrate professionalism,so experiments can replicated
100100,half volcanic rock formation can seen at pinnacles national park california on one side san andreas fault. the other half 195 miles southeast park on other side same fault line. this evidence which following theories?,b,that earthquakes are result volcanic activity,that earth's crust made rocky plates that shift over time,that rock formations may move hundreds miles an earthquake,that earth's current landforms were created when earth's surface cooled
100101,margaret running full lap around circular track. she facing north when she starts. what direction will she facing after she has completed half lap?,b,north,south,east,west
100102,paleontologists find study fossilized organisms determine history evolution life on earth. a paleontologist most likely find more __________,d,ancient life forms younger layers sedimentary rock.,recently evolved organisms undisturbed sedimentary rock layers.,ancient life forms overturned sedimentary rock layers.,recently evolved organisms younger layers sedimentary rock.
100103,students are learning about different types waves. which least likely way students generate wave?,a,by tossing ball air,by shaking ends rope,by throwing pebble into pool water,by pulling on coiled spring toy
100104,if two organisms are classified different orders but are same class which these statements true?,b,the organisms have same genus.,the organisms are same phylum.,the organisms are different kingdoms.,the organisms are members same species.
100105,in order cellular respiration occur oxygen __________ are necessary.,b,carbon dioxide,glucose,water,atp
100106,which type evidence would geologist need support plate tectonic theory?,c,plant fossils that are similar size, weathering erosion coastlines,new crust formed by sea floor spreading,rocks with different physical appearances
100107,an athlete running race. the athlete's body needs energy. which organelle(s) athlete's cells supply energy cellular functions?,b,golgi apparatus,mitochondrion,ribosome,nucleus
100108,which type galaxy has shapes that can range from flattened spheres rounded spheres elongated spheres?,b,irregular galaxy,elliptical galaxy,spiral galaxy,eclipse galaxy
100109,how does acid rain most likely affect forests?,d,top soil loses all its nutrients.,plants begin grow deeper roots.,animals have more food sources.,trees become less healthy over time.
100110,the water cycle describes movement water earth. about 96% water earth salt water found oceans while remaining 4% fresh water. where would majority freshwater on earth found?,c,groundwater aquifers,swamps wetlands,ice caps glaciers,lakes rivers
100111,one condition required hardy-weinberg equilibrium that no gene flow can occur. why this highly unlikely happen nature?,c,mating will always occur nature.,organisms will continuously die removing genes from population.,migration will add remove genes population.,selection will eliminate certain genes.
100112,when trees are removed from an area tropical rainforest area experiences an increase soil erosion. which statement best explains why removing trees can lead soil erosion?,b,less bedrock will available make soil.,there will fewer roots hold soil place.,the number soil-eating insects area will increase.,the amount solar radiation reaching ground will increase.
100113,when finger cut bleeds platelets plasma proteins move cut stop bleeding. as these move cut this stimulates more platelets proteins move cut stop bleeding. what type mechanism being illustrated?,b,negative feedback,positive feedback,regulatory feedback,stimulation feedback
100114,which following choices would most likely contain element carbon?,c,metal rod,table salt,water lily,distilled water
100115,a scientist crosses red-flowered plant with white-flowered plant all offspring have red flowers. what will most likely result if these red-flowered offspring are crossed with white-flowered plants?,c,all offspring will have red flowers.,all offspring will have white flowers.,the offspring will have either red white flowers.,the offspring will have neither red nor white flowers.
100116,a girl with long hair going participating an experiment that uses an alcohol burner an energy source. what best thing her do prepare this experiment?,c,leave her large jacket her locker day,use goggles during experiment,tie her hair back away from her face,wear lab apron during experiment
100117,what most likely happens soil when crops are not rotated from year year?,a,the soil nutrients are depleted.,the soil fertility increases.,the soil becomes more porous.,the soil erodes less rapidly.
100118,the nervous system controls coordinates functions__________.,d,only throughout brain,only through spinal cord.,throughout both brain spinal cord,through whole body responding both internal external stimuli
100119,which two processes could result formation high mountains with well-rounded peaks?,c,volcanic eruptions global warming,earthquakes tidal activity,collision crustal plates erosion,production greenhouse gases weathering
100120,which type energy gasoline transformed into mechanical energy motorcycle engine?,a,chemical,nuclear,magnetic,electrical
100121,which two processes water cycle are primarily responsible creation lake?,c,evaporation runoff,evaporation condensation,precipitation runoff,precipitation condensation
100122,which best explains how many insect populations are able survive repeated attempts eradicate them with insecticides?,b,cockroach populations are good at finding food sources.,cockroach populations are genetically able adapt quickly.,cockroach populations leave when they are being poisoned.,cockroach populations know stay away from poisoned areas.
100123,in tropical rainforest difference between daytime nighttime temperatures relatively small. in desert difference between daytime nighttime temperatures very large. which factor contributes lower variation rainforest temperatures?,d,foliage rainforest reflects heat.,organisms rainforest absorb moisture.,solar radiation rainforest less intense.,cloud cover rainforest helps retain heat.
