id,question,correctanswer,answera,answerb,answerc,answerd
100001,when athletes begin to exercise their heart rates and respiration rates increase  at what level of organization does the human body coordinate these functions?,c,at the tissue level,at the organ level,at the system level,at the cellular level
100002,which example describes a learned behavior in a dog?,c,smelling the air for odors,barking when disturbed,sitting on command,digging in soil
100003,when two nuclei are combined into one nucleus there is a slight change in mass and the release of a large amount of energy what is this process called?,d,conversion,reaction,fission,fusion
100004,which is a distinction between an epidemic and a pandemic?,b,the symptoms of the disease,the geographical area affected,the species of organisms infected,the season in which the disease spreads
100005,in which way is the orbit of a comet different from the orbit of earth?,b,the orbit of earth is less circular than the orbit of a comet,the orbit of a comet is more elliptical than the orbit of earth,the orbital period of earth is much longer than the orbital period of a comet,the orbital period of a comet is more predictable than the orbital period of earth
100006,a teacher builds a model of a hydrogen atom a red golf ball is used for a proton and a green golf ball is used for an electron which is not accurate concerning the model?,b,number of particles,relative mass of particles,types of particles present,charges of particles present
100007,which substance should a student apply to the skin if he or she gets splashed with an acid?,a,water,vinegar,salt,formaldehyde
100008,what is the main source of energy for the water cycle?,a,the sun,fossil fuels,clouds,the ocean
100009,which has the greatest effect on aiding the movement of blood through the human body?,d,tension,friction,density,gravity
100010,over time non-volcanic mountains can form due to the interaction of plate boundaries which interaction is most likely associated with the formation of non-volcanic mountains?,c,oceanic plates colliding with oceanic plates,oceanic plates separating from oceanic plates,continental plates colliding with continental plates,continental plates separating from continental plates
100011,the human body has an average normal temperature of about 986°f to keep the core body temperature from becoming too high the brain sends a signal to the body to,d,decrease sugar levels in the blood,increase sugar levels in the blood,decrease blood flow to the skin,increase blood flow to the skin
100012,which is the best explanation of the term ecology?,d,the study of the nonliving parts of the environment,the study of the living parts of the environment,the study of the protection and renewal of natural resources,the study of organisms and their interactions with the environment
100013,a farmer sprayed his orange trees with a pesticide to eliminate the insects damaging the trees some of the insects survived and produced offspring that were also resistant to the insecticide which process is illustrated by the pesticide resistance of the offspring?,a,natural selection,selective breeding,aerobic respiration,sexual reproduction
100014,researchers work in teams to make cars more fuel efficient which of these statements describes the main advantage of working in teams rather than working individually?,c,the research is more likely to be published,the research costs less to perform,the researchers can share their ideas,the researchers have more time to complete work
100015,achromatopsia is a genetic disorder in which sufferers have no color vision  achromatopsia most likely affects which of the following structures in the eye?,b,rod cells,cone cells,lens,iris
100016,which of these elements is likely to be found in an organic compound?,b,helium,hydrogen,mercury,tin
100017,which statement describes a principle scientists have used to learn more about the structure of earth's interior?,c,solid materials absorb seismic waves,magnetic fields deflect seismic waves,the density of a material affects the speed of a seismic wave,the physical state of a material determines the amplitude of a seismic wave
100018,a scientist looks at a graph that shows the percentages of humus clay and sand that make up a soil if the scientist had the total weight of each material instead of percentages what type of graph would be best to illustrate the data?,a,bar graph,scatterplot,circle graph,pictograph
100019,robots can perform tasks that are dangerous for humans what is the major limitation to the use of robots?,b,the assembly pieces must be very small,the assembly process must remain exactly the same,robots require regular maintenance,robots must be provided with electricity
100020,a student investigated the percentage of energy obtained from several food sources for a population of eagles which format is the best way to display this data?,b,a table,a pie chart,a bar graph,a line graph
100021,the voyager ii space probe was launched in 1979 with the mission of flying past the outer gas giant planets and collecting data  what unit of measurement would best describe the distance that this probe traveled to reach neptune?,c,meters,kilometers,astronomical units,light years
100022,which cellular structure allows nutrients to pass into cells?,c,mitochondrion,nucleus,membrane,chloroplast
100023,which behavior can help animals establish a territory?,c,a caribou herd migrates seasonally,a scent trail leads ants to a food source,a wolf pack howls to warn other wolves to stay away,a honeybee society divides the work between its members
100024,the brain spinal cord and nerves are organs that perform which primary function?,d,supporting the body and enabling it to move,transporting oxygen wastes and nutrients throughout the body,producing male and female gametes,conducting messages to coordinate body functions
100025,which statement best describes a liquid sample?,a,it will retain its volume if transferred to a larger container,it keeps its shape when transferred to a larger container,its volume can be greatly reduced by adding pressure,its shape can be changed by increasing its temperature
